"","name","longitude","latitude"
"1","4Vn",-60.4062265276398,47.0387871325074
"2","4Vn",-60,47.8333333333333
"3","4Vn",-57.5000000106609,45.6666666741282
"4","4Vn",-60.0000000054221,45.6666666741282
"5","4Vn",-60.2603202835108,45.7187307367792
"6","4Vs",-60.0000000054221,45.6666666741282
"7","4Vs",-57.5000000106609,45.6666666741282
"8","4Vs",-54.9999999988318,43.5000000044354
"9","4Vs",-54.5000000032931,43.050000003002
"10","4Vs",-51.0000000003867,39.8999999959797
"11","4Vs",-49.9999999922414,38.9999999938558
"12","4Vs",-54.9999999988318,38.9999999938558
"13","4Vs",-58.9999999972768,38.9999999938558
"14","4Vs",-58.9999999972768,44.1666666704049
"15","4Vs",-60.0000000054221,44.1666666704049
"16","4Vs",-60.0000000054221,45.6666666741282
"17","4W",-58.9999999972768,38.9999999938558
"18","4W",-63.3333333368608,38.9999999938558
"19","4W",-63.3333333368608,44.3333333248793
"20","4W",-63.571449671306,44.6646256182613
"21","4W",-60.2603202835108,45.7187307367792
"22","4W",-60.0000000054221,45.6666666741282
"23","4W",-60.0000000054221,44.1666666704049
"24","4W",-58.9999999972768,44.1666666704049
"25","4W",-58.9999999972768,38.9999999938558
"26","4X",-66.0000000021914,42.3333333256629
"27","4X",-67.3036527800279,42.3333333256629
"28","4X",-67.4680555514526,42.518888888462
"29","4X",-67.7430555634168,42.887222224786
"30","4X",-67.4076499993603,43.8333333290208
"31","4X",-66.9031258293361,43.8333333290208
"32","4X",-66.9031258293361,44.7764850007144
"33","4X",-67.0897818906595,45.0758016490895
"34","4X",-63.571449671306,44.6646256182613
"35","4X",-63.3333333368608,44.3333333248793
"36","4X",-63.3333333368608,38.9999999938558
"37","4X",-65.6666666781205,38.9999999938558
"38","4X",-65.6666666781205,42.0000000010028
"39","4X",-66.0000000021914,42.3333333256629
